BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 197.252.20.0     196.223.20.21            0             0 15706 ?
*> 197.252.21.0     196.223.20.21            0             0 15706 ?
*> 197.252.22.0     196.223.20.21            0             0 15706 ?
*> 197.252.23.0     196.223.20.21            0             0 15706 ?
*> 197.252.24.0     196.223.20.21            0             0 15706 ?
*> 197.252.25.0     196.223.20.21            0             0 15706 ?
*> 197.252.26.0     196.223.20.21            0             0 15706 ?
*> 197.252.27.0     196.223.20.21            0             0 15706 ?
*> 197.252.28.0     196.223.20.21            0             0 15706 ?
*> 197.252.29.0     196.223.20.21            0             0 15706 ?
*> 197.252.30.0     196.223.20.21            0             0 15706 ?
*> 197.252.31.0     196.223.20.21            0             0 15706 ?
*> 197.252.32.0     196.223.20.21            0             0 15706 ?
*> 197.252.33.0     196.223.20.21            0             0 15706 ?
*> 197.252.34.0     196.223.20.21            0             0 15706 ?
*> 197.252.35.0     196.223.20.21            0             0 15706 ?
*> 197.252.36.0     196.223.20.21            0             0 15706 ?
*> 197.252.37.0     196.223.20.21            0             0 15706 ?
*> 197.252.38.0     196.223.20.21            0             0 15706 ?
*> 197.252.39.0     196.223.20.21            0             0 15706 ?
*> 197.252.40.0     196.223.20.21            0             0 15706 ?
*> 197.252.41.0     196.223.20.21            0             0 15706 ?
*> 197.252.42.0     196.223.20.21            0             0 15706 ?
*> 197.252.43.0     196.223.20.21            0             0 15706 ?
*> 197.252.44.0     196.223.20.21            0             0 15706 ?
*> 197.252.45.0     196.223.20.21            0             0 15706 ?
*> 197.252.46.0     196.223.20.21            0             0 15706 ?
*> 197.252.47.0     196.223.20.21            0             0 15706 ?
*> 197.252.48.0     196.223.20.21            0             0 15706 ?
*> 197.252.49.0     196.223.20.21            0             0 15706 ?
*> 197.252.50.0     196.223.20.21            0             0 15706 ?
*> 197.252.51.0     196.223.20.21            0             0 15706 ?
*> 197.252.52.0     196.223.20.21            0             0 15706 ?
*> 197.252.53.0     196.223.20.21            0             0 15706 ?
*> 197.252.54.0     196.223.20.21            0             0 15706 ?
*> 197.252.55.0     196.223.20.21            0             0 15706 ?
*> 197.252.56.0     196.223.20.21            0             0 15706 ?
*> 197.252.57.0     196.223.20.21            0             0 15706 ?
*> 197.252.58.0     196.223.20.21            0             0 15706 ?
*> 197.252.59.0     196.223.20.21            0             0 15706 ?
*> 197.252.60.0     196.223.20.21            0             0 15706 ?
*> 197.252.61.0     196.223.20.21            0             0 15706 ?
*> 197.252.62.0     196.223.20.21            0             0 15706 ?
*> 197.252.63.0     196.223.20.21            0             0 15706 ?
*> 197.252.64.0     196.223.20.21            0             0 15706 ?
*> 197.252.65.0     196.223.20.21            0             0 15706 ?
*> 197.252.66.0     196.223.20.21            0             0 15706 ?
*> 197.252.67.0     196.223.20.21            0             0 15706 ?
*> 197.252.68.0     196.223.20.21            0             0 15706 ?
*> 197.252.69.0     196.223.20.21            0             0 15706 ?
*> 197.252.70.0     196.223.20.21            0             0 15706 ?
*> 197.252.71.0     196.223.20.21            0             0 15706 ?
*> 197.252.72.0     196.223.20.21            0             0 15706 ?
*> 197.252.73.0     196.223.20.21            0             0 15706 ?
*> 197.252.74.0     196.223.20.21            0             0 15706 ?
*> 197.252.75.0     196.223.20.21            0             0 15706 ?
*> 197.252.76.0     196.223.20.21            0             0 15706 ?
*> 197.252.77.0     196.223.20.21            0             0 15706 ?
*> 197.252.78.0     196.223.20.21            0             0 15706 ?
*> 197.252.79.0     196.223.20.21            0             0 15706 ?
*> 197.252.80.0     196.223.20.21            0             0 15706 ?
*> 197.252.81.0     196.223.20.21            0             0 15706 ?
*> 197.252.82.0     196.223.20.21            0             0 15706 ?
*> 197.252.83.0     196.223.20.21            0             0 15706 ?
*> 197.252.84.0     196.223.20.21            0             0 15706 ?
*> 197.252.85.0     196.223.20.21            0             0 15706 ?
*> 197.252.86.0     196.223.20.21            0             0 15706 ?
*> 197.252.87.0     196.223.20.21            0             0 15706 ?
*> 197.252.88.0     196.223.20.21            0             0 15706 ?
*> 197.252.89.0     196.223.20.21            0             0 15706 ?
*> 197.252.90.0     196.223.20.21            0             0 15706 ?
*> 197.252.91.0     196.223.20.21            0             0 15706 ?
*> 197.252.92.0     196.223.20.21            0             0 15706 ?
*> 197.252.93.0     196.223.20.21            0             0 15706 ?
*> 197.252.94.0     196.223.20.21            0             0 15706 ?
*> 197.252.95.0     196.223.20.21            0             0 15706 ?
*> 197.252.96.0     196.223.20.21            0             0 15706 ?
*> 197.252.97.0     196.223.20.21            0             0 15706 ?
*> 197.252.98.0     196.223.20.21            0             0 15706 ?
*> 197.252.99.0     196.223.20.21            0             0 15706 ?
*> 197.252.100.0    196.223.20.21            0             0 15706 ?
*> 197.252.101.0    196.223.20.21            0             0 15706 ?
*> 197.252.112.0    196.223.20.21            0             0 15706 ?
*> 197.252.113.0    196.223.20.21            0             0 15706 ?
*> 197.252.114.0    196.223.20.21            0             0 15706 ?
*> 197.252.115.0    196.223.20.21            0             0 15706 ?
*> 197.252.116.0    196.223.20.21            0             0 15706 ?
*> 197.252.117.0    196.223.20.21            0             0 15706 ?
*> 197.252.118.0    196.223.20.21            0             0 15706 ?
*> 197.252.119.0    196.223.20.21            0             0 15706 ?
*> 197.252.120.0    196.223.20.21            0             0 15706 ?
*> 197.252.121.0    196.223.20.21            0             0 15706 ?
*> 197.252.122.0    196.223.20.21            0             0 15706 ?
*> 197.252.123.0    196.223.20.21            0             0 15706 ?
*> 197.252.124.0    196.223.20.21            0             0 15706 ?
*> 197.252.125.0    196.223.20.21            0             0 15706 ?
*> 197.252.126.0    196.223.20.21            0             0 15706 ?
*> 197.252.127.0    196.223.20.21            0             0 15706 ?
*> 197.252.128.0/17 196.223.20.21            0             0 15706 ?
*> 197.252.128.0    196.223.20.21            0             0 15706 ?
*> 197.252.129.0    196.223.20.21            0             0 15706 ?
*> 197.252.130.0    196.223.20.21            0             0 15706 ?
*> 197.252.131.0    196.223.20.21            0             0 15706 ?
*> 197.252.132.0    196.223.20.21            0             0 15706 ?
*> 197.252.133.0    196.223.20.21            0             0 15706 ?
*> 197.252.134.0    196.223.20.21            0             0 15706 ?
*> 197.252.135.0    196.223.20.21            0             0 15706 ?
*> 197.252.136.0    196.223.20.21            0             0 15706 ?
*> 197.252.137.0    196.223.20.21            0             0 15706 ?
*> 197.252.138.0    196.223.20.21            0             0 15706 ?
*> 197.252.139.0    196.223.20.21            0             0 15706 ?
*> 197.252.140.0    196.223.20.21            0             0 15706 ?
*> 197.252.141.0    196.223.20.21            0             0 15706 ?
*> 197.252.142.0    196.223.20.21            0             0 15706 ?
*> 197.252.143.0    196.223.20.21            0             0 15706 ?
*> 197.252.144.0    196.223.20.21            0             0 15706 ?
*> 197.252.145.0    196.223.20.21            0             0 15706 ?
*> 197.252.146.0    196.223.20.21            0             0 15706 ?
*> 197.252.147.0    196.223.20.21            0             0 15706 ?
*> 197.252.148.0    196.223.20.21            0             0 15706 ?
*> 197.252.149.0    196.223.20.21            0             0 15706 ?
*> 197.252.150.0    196.223.20.21            0             0 15706 ?
*> 197.252.151.0    196.223.20.21            0             0 15706 ?
*> 197.252.152.0    196.223.20.21            0             0 15706 ?
*> 197.252.153.0    196.223.20.21            0             0 15706 ?
*> 197.252.154.0    196.223.20.21            0             0 15706 ?
*> 197.252.155.0    196.223.20.21            0             0 15706 ?
*> 197.252.156.0    196.223.20.21            0             0 15706 ?
*> 197.252.157.0    196.223.20.21            0             0 15706 ?
*> 197.252.158.0    196.223.20.21            0             0 15706 ?
*> 197.252.159.0    196.223.20.21            0             0 15706 ?
*> 197.252.160.0    196.223.20.21            0             0 15706 ?
*> 197.252.161.0    196.223.20.21            0             0 15706 ?
*> 197.252.162.0    196.223.20.21            0             0 15706 ?
*> 197.252.163.0    196.223.20.21            0             0 15706 ?
*> 197.252.164.0    196.223.20.21            0             0 15706 ?
*> 197.252.165.0    196.223.20.21            0             0 15706 ?
*> 197.252.166.0    196.223.20.21            0             0 15706 ?
*> 197.252.167.0    196.223.20.21            0             0 15706 ?
*> 197.252.168.0    196.223.20.21            0             0 15706 ?
*> 197.252.169.0    196.223.20.21            0             0 15706 ?
*> 197.252.171.0    196.223.20.21            0             0 15706 ?
*> 197.252.172.0    196.223.20.21            0             0 15706 ?
*> 197.252.173.0    196.223.20.21            0             0 15706 ?
*> 197.252.174.0    196.223.20.21            0             0 15706 ?
*> 197.252.175.0    196.223.20.21            0             0 15706 ?
*> 197.252.176.0    196.223.20.21            0             0 15706 ?
*> 197.252.177.0    196.223.20.21            0             0 15706 ?
*> 197.252.178.0    196.223.20.21            0             0 15706 ?
*> 197.252.179.0    196.223.20.21            0             0 15706 ?
*> 197.252.180.0    196.223.20.21            0             0 15706 ?
*> 197.252.181.0    196.223.20.21            0             0 15706 ?
*> 197.252.182.0    196.223.20.21            0             0 15706 ?
*> 197.252.183.0    196.223.20.21            0             0 15706 ?
*> 197.252.200.0    196.223.20.21            0             0 15706 ?
*> 197.252.201.0    196.223.20.21            0             0 15706 ?
*> 197.252.202.0    196.223.20.21            0             0 15706 ?
*> 197.252.209.0    196.223.20.21            0             0 15706 ?
*> 197.252.210.0    196.223.20.21            0             0 15706 ?
*> 197.254.192.0/18 196.223.20.24            0             0 33788 i
*> 197.254.192.0/19 196.223.20.24            0             0 33788 i
*> 197.254.192.0/21 196.223.20.24            0             0 33788 i
*> 197.254.192.0    196.223.20.24            0             0 33788 i
*> 197.254.193.0    196.223.20.24            0             0 33788 i
*> 197.254.194.0    196.223.20.24            0             0 33788 i
*> 197.254.196.0    196.223.20.24            0             0 33788 i
*> 197.254.199.0    196.223.20.24            0             0 33788 i
*> 197.254.200.0    196.223.20.24            0             0 33788 i
*> 197.254.204.0    196.223.20.24            0             0 33788 i
*> 197.254.205.0    196.223.20.24            0             0 33788 i
*> 197.254.207.0    196.223.20.24            0             0 33788 i
*> 197.254.208.0    196.223.20.24            0             0 33788 i
*> 197.254.212.0/23 196.223.20.24            0             0 33788 i
*> 197.254.216.0    196.223.20.24            0             0 33788 i
*> 197.254.217.0    196.223.20.24            0             0 33788 i
*> 197.254.220.0    196.223.20.24            0             0 33788 i
*> 197.254.221.0    196.223.20.24            0             0 33788 i
*> 197.254.223.0    196.223.20.24            0             0 33788 i
*> 197.254.224.0/19 196.223.20.24            0             0 33788 i
*> 197.254.224.0/21 196.223.20.24            0             0 33788 i
*> 197.254.225.0    196.223.20.24            0             0 33788 i
*> 197.254.227.0    196.223.20.24            0             0 33788 i
*> 197.254.228.0    196.223.20.24            0             0 33788 i
*> 197.254.229.0    196.223.20.24            0             0 33788 i
*> 197.254.232.0/21 196.223.20.24            0             0 33788 i
*> 197.254.236.0/22 196.223.20.24            0             0 33788 i
*> 197.254.238.0/23 196.223.20.24            0             0 33788 i
*> 197.254.240.0/20 196.223.20.24            0             0 33788 i
*> 197.254.240.0/21 196.223.20.24            0             0 33788 i
*> 197.254.240.0/22 196.223.20.24            0             0 33788 i
*> 197.254.240.0/23 196.223.20.24            0             0 33788 i
*> 197.254.241.0    196.223.20.24            0             0 33788 i
*> 197.254.242.0/23 196.223.20.24            0             0 33788 i
*> 197.254.244.0/22 196.223.20.24            0             0 33788 i
*> 197.254.244.0/23 196.223.20.24            0             0 33788 i
*> 197.254.246.0/23 196.223.20.24            0             0 33788 i
*> 197.254.248.0/21 196.223.20.24            0             0 33788 i
*> 197.254.248.0/22 196.223.20.24            0             0 33788 i
*> 197.254.248.0/23 196.223.20.24            0             0 33788 i
*> 197.254.250.0/23 196.223.20.24            0             0 33788 i
*> 197.254.252.0/22 196.223.20.24            0             0 33788 i
*> 197.254.252.0/23 196.223.20.24            0             0 33788 i
*> 197.254.254.0/23 196.223.20.24            0             0 33788 i
*> 198.182.167.0    196.223.20.100           0             0 42 i
*> 199.4.137.0      196.223.20.100           0             0 42 i
*> 199.7.91.0       196.223.20.100           0             0 42 10886 i
*> 199.184.182.0    196.223.20.100           0             0 42 i
*> 199.249.255.0    196.223.20.100           0             0 42 19281 i
*> 199.254.171.0    196.223.20.100           0             0 42 i
*> 200.108.148.0    196.223.20.100           0             0 42 i
*> 204.19.119.0     196.223.20.100           0             0 42 i
*> 204.26.57.0      196.223.20.100           0             0 42 i
*> 204.61.216.0/23  196.223.20.100           0             0 42 i
*> 206.51.254.0     196.223.20.100           0             0 42 i
*> 206.51.255.0     196.223.20.100           0             0 42 i
*> 206.108.113.0    196.223.20.100           0             0 42 i
*> 207.34.6.0       196.223.20.100           0             0 42 i
*> 207.34.7.0       196.223.20.100           0             0 42 i
*> 212.0.128.0/19   196.223.20.21            0             0 15706 ?
*> 212.0.128.0/20   196.223.20.21            0             0 15706 ?
*> 212.0.128.0/21   196.223.20.21            0             0 15706 ?
*> 212.0.128.0/22   196.223.20.21            0             0 15706 ?
*> 212.0.128.0      196.223.20.21            0             0 15706 ?
*> 212.0.130.0      196.223.20.21            0             0 15706 ?
*> 212.0.131.0      196.223.20.21            0             0 15706 i
*> 212.0.133.0      196.223.20.21            0             0 15706 ?
*> 212.0.134.0      196.223.20.21            0             0 15706 ?
*> 212.0.135.0      196.223.20.21            0             0 15706 ?
*> 212.0.136.0/21   196.223.20.21            0             0 15706 ?
*> 212.0.136.0/22   196.223.20.21            0             0 15706 ?
*> 212.0.136.0      196.223.20.21            0             0 15706 ?
*> 212.0.137.0      196.223.20.21            0             0 15706 ?
*> 212.0.139.0      196.223.20.21            0             0 15706 ?
*> 212.0.140.0/22   196.223.20.21            0             0 15706 ?
*> 212.0.140.0      196.223.20.21            0             0 15706 ?
*> 212.0.141.0      196.223.20.21            0             0 15706 ?
*> 212.0.142.0      196.223.20.21            0             0 15706 ?
*> 212.0.143.0      196.223.20.21            0             0 15706 ?
*> 212.0.144.0/20   196.223.20.21            0             0 15706 ?
*> 212.0.144.0/21   196.223.20.21            0             0 15706 ?
*> 212.0.144.0      196.223.20.21            0             0 15706 ?
*> 212.0.145.0      196.223.20.21            0             0 15706 ?
*> 212.0.146.0      196.223.20.21            0             0 15706 ?
*> 212.0.147.0      196.223.20.21            0             0 15706 ?
*> 212.0.148.0/22   196.223.20.21            0             0 15706 ?
*> 212.0.148.0      196.223.20.21            0             0 15706 ?
*> 212.0.149.0      196.223.20.21            0             0 15706 ?
*> 212.0.150.0      196.223.20.21            0             0 15706 ?
*> 212.0.151.0      196.223.20.21            0             0 15706 ?
*> 212.0.152.0/21   196.223.20.21            0             0 15706 ?
*> 212.0.152.0      196.223.20.21            0             0 15706 ?
*> 212.0.153.0      196.223.20.21            0             0 15706 ?
*> 212.0.154.0      196.223.20.21            0             0 15706 ?
*> 212.0.156.0/22   196.223.20.21            0             0 15706 ?
*> 212.0.159.0      196.223.20.21            0             0 15706 ?

Total number of prefixes 689
