###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
| 113 | Valid | Valid  | 43.228.195.0/24  |       24550 |
| 114 | Valid | Valid  | 43.231.208.0/22  |       55915 |
| 115 | Valid | Valid  | 43.231.208.0/24  |       55915 |
| 116 | Valid | Valid  | 43.231.209.0/24  |       55915 |
| 117 | Valid | Valid  | 43.231.210.0/24  |       55915 |
| 118 | Valid | Valid  | 43.231.211.0/24  |       55915 |
| 119 | Valid | Valid  | 43.243.96.0/22   |      138546 |
| 120 | Valid | Valid  | 43.243.96.0/23   |       38565 |
| 121 | Valid | Valid  | 43.245.84.0/22   |       45650 |
| 122 | Valid | Valid  | 43.245.84.0/23   |       45650 |
| 123 | Valid | Valid  | 43.245.86.0/23   |       45650 |
| 124 | Valid | Valid  | 43.245.93.0/24   |       55427 |
| 125 | Valid | Valid  | 43.245.94.0/24   |       55427 |
| 126 | Valid | Valid  | 43.245.95.0/24   |       55427 |
| 127 | Valid | Valid  | 45.64.160.0/22   |       55915 |
| 128 | Valid | Valid  | 45.64.160.0/24   |       55915 |
| 129 | Valid | Valid  | 45.64.161.0/24   |       55915 |
| 130 | Valid | Valid  | 45.64.162.0/24   |       55915 |
| 131 | Valid | Valid  | 45.64.163.0/24   |       55915 |
| 132 | Valid | Valid  | 45.115.216.0/24  |       18222 |
| 133 | Valid | Valid  | 45.115.217.0/24  |       18222 |
| 134 | Valid | Valid  | 45.115.218.0/24  |       18222 |
| 135 | Valid | Valid  | 45.115.219.0/24  |       18222 |
| 136 | Valid | Valid  | 45.116.20.0/22   |       23752 |
| 137 | Valid | Valid  | 45.121.32.0/22   |      136908 |
| 139 | Valid | Valid  | 45.123.220.0/22  |       55915 |
| 140 | Valid | Valid  | 45.123.220.0/24  |       55915 |
| 141 | Valid | Valid  | 45.123.221.0/24  |       55915 |
| 142 | Valid | Valid  | 45.123.222.0/24  |       55915 |
| 143 | Valid | Valid  | 45.123.223.0/24  |       55915 |
| 147 | Valid | Valid  | 49.126.0.0/16    |       38565 |
| 148 | Valid | Valid  | 49.126.0.0/17    |       38565 |
| 149 | Valid | Valid  | 49.126.0.0/18    |       38565 |
| 154 | Valid | Valid  | 49.126.64.0/18   |       38565 |
| 159 | Valid | Valid  | 49.126.128.0/17  |       38565 |
| 160 | Valid | Valid  | 49.126.128.0/18  |       38565 |
| 165 | Valid | Valid  | 49.126.192.0/18  |       38565 |
| 170 | Valid | Valid  | 49.236.212.0/22  |       55915 |
